entity_id,state,last_changed
sensor.shellypro3em_9454c5b9b340_total_active_power,9.034,2026-04-28T11:26:41.035Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.606,2026-04-28T11:26:55.028Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.267,2026-04-28T11:27:10.062Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.875,2026-04-28T11:27:25.012Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.479,2026-04-28T11:27:39.006Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.314,2026-04-28T11:27:49.043Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.31,2026-04-28T11:27:50.005Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.623,2026-04-28T11:28:03.999Z
sensor.shellypro3em_9454c5b9b340_total_active_power,13.021,2026-04-28T11:28:06.997Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.219,2026-04-28T11:28:08.059Z
sensor.shellypro3em_9454c5b9b340_total_active_power,6.14,2026-04-28T11:28:22.008Z
sensor.shellypro3em_9454c5b9b340_total_active_power,5.013,2026-04-28T11:28:30.011Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.327,2026-04-28T11:28:30.997Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.875,2026-04-28T11:28:44.997Z
sensor.shellypro3em_9454c5b9b340_total_active_power,5.249,2026-04-28T11:28:54.011Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.63,2026-04-28T11:28:55.006Z
sensor.shellypro3em_9454c5b9b340_total_active_power,5.181,2026-04-28T11:29:01.997Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.781,2026-04-28T11:29:03.998Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.798,2026-04-28T11:29:18.002Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.185,2026-04-28T11:29:32.029Z
sensor.shellypro3em_9454c5b9b340_total_active_power,13.088,2026-04-28T11:29:44.063Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.294,2026-04-28T11:29:46.014Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.591,2026-04-28T11:29:48.011Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.658,2026-04-28T11:30:02.004Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.436,2026-04-28T11:30:15.004Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.557,2026-04-28T11:30:26.013Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.251,2026-04-28T11:30:30.019Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.271,2026-04-28T11:30:41.024Z
sensor.shellypro3em_9454c5b9b340_total_active_power,6.376,2026-04-28T11:30:54.081Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.985,2026-04-28T11:30:57.042Z
sensor.shellypro3em_9454c5b9b340_total_active_power,6.897,2026-04-28T11:31:10.047Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.565,2026-04-28T11:31:12.048Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.647,2026-04-28T11:31:26.084Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.236,2026-04-28T11:31:40.070Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.731,2026-04-28T11:31:54.079Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.084,2026-04-28T11:32:08.091Z
sensor.shellypro3em_9454c5b9b340_total_active_power,18.841,2026-04-28T11:32:10.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.499,2026-04-28T11:32:12.094Z
sensor.shellypro3em_9454c5b9b340_total_active_power,5.922,2026-04-28T11:32:14.094Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.851,2026-04-28T11:32:15.092Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.581,2026-04-28T11:32:29.127Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1412.577,2026-04-28T11:32:38.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.503,2026-04-28T11:32:40.107Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-49.997,2026-04-28T11:32:41.162Z
sensor.shellypro3em_9454c5b9b340_total_active_power,3.97,2026-04-28T11:32:42.180Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.176,2026-04-28T11:32:47.108Z
sensor.shellypro3em_9454c5b9b340_total_active_power,13.66,2026-04-28T11:32:54.152Z
sensor.shellypro3em_9454c5b9b340_total_active_power,18.488,2026-04-28T11:32:59.112Z
sensor.shellypro3em_9454c5b9b340_total_active_power,14.518,2026-04-28T11:33:02.215Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.766,2026-04-28T11:33:06.150Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.151,2026-04-28T11:33:20.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,25.486,2026-04-28T11:33:31.134Z
sensor.shellypro3em_9454c5b9b340_total_active_power,39.483,2026-04-28T11:33:32.205Z
sensor.shellypro3em_9454c5b9b340_total_active_power,46.531,2026-04-28T11:33:39.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,63.976,2026-04-28T11:33:40.182Z
sensor.shellypro3em_9454c5b9b340_total_active_power,36.455,2026-04-28T11:33:43.150Z
sensor.shellypro3em_9454c5b9b340_total_active_power,18.909,2026-04-28T11:33:44.180Z
sensor.shellypro3em_9454c5b9b340_total_active_power,17.983,2026-04-28T11:33:45.163Z
sensor.shellypro3em_9454c5b9b340_total_active_power,16.839,2026-04-28T11:33:59.140Z
sensor.shellypro3em_9454c5b9b340_total_active_power,15.107,2026-04-28T11:34:13.145Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.692,2026-04-28T11:34:27.147Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.817,2026-04-28T11:34:31.151Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.995,2026-04-28T11:34:45.158Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-4.811,2026-04-28T11:34:51.166Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.049,2026-04-28T11:34:52.181Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.651,2026-04-28T11:34:58.181Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.219,2026-04-28T11:35:12.161Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.144,2026-04-28T11:35:26.160Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.873,2026-04-28T11:35:40.181Z
sensor.shellypro3em_9454c5b9b340_total_active_power,6.729,2026-04-28T11:35:50.150Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.722,2026-04-28T11:36:04.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.209,2026-04-28T11:36:18.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.31,2026-04-28T11:36:32.155Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.267,2026-04-28T11:36:46.150Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.454,2026-04-28T11:37:00.308Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.193,2026-04-28T11:37:15.129Z
sensor.shellypro3em_9454c5b9b340_total_active_power,6.09,2026-04-28T11:37:29.130Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.032,2026-04-28T11:37:43.142Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.251,2026-04-28T11:37:57.128Z
sensor.shellypro3em_9454c5b9b340_total_active_power,5.955,2026-04-28T11:38:11.125Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.6,2026-04-28T11:38:15.153Z
sensor.shellypro3em_9454c5b9b340_total_active_power,28.985,2026-04-28T11:38:17.124Z
sensor.shellypro3em_9454c5b9b340_total_active_power,5.013,2026-04-28T11:38:19.122Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-2.389,2026-04-28T11:38:21.156Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.303,2026-04-28T11:38:23.123Z
sensor.shellypro3em_9454c5b9b340_total_active_power,13.038,2026-04-28T11:38:24.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1.11,2026-04-28T11:38:26.151Z
sensor.shellypro3em_9454c5b9b340_total_active_power,2.759,2026-04-28T11:38:40.166Z
sensor.shellypro3em_9454c5b9b340_total_active_power,3.651,2026-04-28T11:38:54.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,0.757,2026-04-28T11:39:08.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,2.002,2026-04-28T11:39:22.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,0.404,2026-04-28T11:39:36.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,1.817,2026-04-28T11:39:50.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-0.084,2026-04-28T11:40:04.150Z
sensor.shellypro3em_9454c5b9b340_total_active_power,13.559,2026-04-28T11:40:08.185Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.664,2026-04-28T11:40:22.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.563,2026-04-28T11:40:23.152Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.077,2026-04-28T11:40:37.120Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.024,2026-04-28T11:40:51.116Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.187,2026-04-28T11:41:05.116Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.344,2026-04-28T11:41:19.114Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.454,2026-04-28T11:41:33.172Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.32,2026-04-28T11:41:47.128Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.765,2026-04-28T11:42:01.114Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.38,2026-04-28T11:42:15.118Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.361,2026-04-28T11:42:29.118Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.176,2026-04-28T11:42:43.121Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.495,2026-04-28T11:42:57.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.353,2026-04-28T11:43:11.114Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.673,2026-04-28T11:43:25.116Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.437,2026-04-28T11:43:39.110Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.851,2026-04-28T11:43:53.122Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.993,2026-04-28T11:44:07.103Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.849,2026-04-28T11:44:21.129Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.473,2026-04-28T11:44:35.099Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.228,2026-04-28T11:44:49.100Z
